Case ID,Cluster,ICS Score
2008-P-0532,2,889.918224463
2008-P-0533,3,1400.81684099
2008-P-0538,2,941.026694481
2008-P-0540,3,1434.99859135
2008-P-0543,3,1408.38660424
2008-P-0546,2,928.924387688
2008-P-0547,3,1418.63032332
2008-P-0548,3,1128.72379152
2008-P-0549,3,1366.73904012
2008-P-0556,3,1372.36553378
2008-P-0560,3,1422.73449943
2008-P-0569,3,1387.40150626
2008-P-0570,3,1322.31627734
2008-P-0579,3,1403.54485998
2008-P-0580,3,1385.78436619
2008-P-0587,3,1400.48441243
2008-P-0589,3,1408.24931822
2008-P-0590,3,1372.27425404
2008-P-0591,3,1390.87344261
2008-P-0592,3,1431.82823433
2008-P-0602,3,1397.15767409
2008-P-0603,3,1401.74969562
2008-P-0604,3,1227.47768513
2008-P-0608,3,1394.97658264
2008-P-0609,3,1414.05726071
2008-P-0610,3,1366.52130167
2008-P-0612,3,1413.64668742
2008-P-0617,3,1165.05949521
2008-P-0619,3,1392.1714722
2008-P-0623,3,1427.30523279
2008-P-0624,3,1425.99195167
2008-P-0626,3,1262.62386945
2008-P-0627,3,1407.03919364
2008-P-0629,3,1138.48206997
2008-P-0635,3,1398.48417986
2008-P-0636,2,950.6234174
2008-P-0637,3,1418.08937517
2008-P-0064,3,1423.46168039
2008-P-0642,3,1342.65533437
2008-P-0643,3,1423.56311794
2008-P-0645,3,1364.01664286
2008-P-0648,3,1413.22045695
2008-P-0649,3,1353.65574889
2008-P-0065,3,1399.60595747
2008-P-0654,3,1392.12380037
2008-P-0066,3,1431.39606566
2008-P-0660,3,1360.01615928
2008-P-0661,3,1421.26332823
2008-P-0664,3,1427.49538312
2008-P-0682,3,1416.2991158
2008-P-0685,3,1373.88867005
2008-P-0695,3,1415.10831064
2008-P-0696,3,1429.68842214
2008-P-0697,3,1406.66848824
2008-P-0699,3,1388.56534645
2008-P-0708,2,886.76181639
2008-P-0071,3,1170.4453914
2008-P-0713,3,1375.64105477
2008-P-0715,3,1421.63968059
2008-P-0716,3,1370.25554145
2008-P-0718,3,1414.94931308
2008-P-0719,2,844.493729361
2008-P-0072,3,1404.42891994
2008-P-0730,2,877.13530447
2008-P-0732,2,978.426289243
2008-P-0734,3,1422.77971678
2008-P-0735,3,1405.53606169
2008-P-0736,3,1407.96643257
2008-P-0738,3,1349.3967161
2008-P-0741,2,936.635321486
2008-P-0742,3,1431.04673324
2008-P-0755,3,1422.67429911
2008-P-0757,3,1382.29951503
2008-P-0758,3,1313.31599083
2008-P-0076,3,1382.26935441
2008-P-0761,3,1318.62075931
2008-P-0766,3,1338.91801263
2008-P-0771,3,1436.81547471
2008-P-0772,2,940.152268243
2008-P-0773,3,1431.62920647
2008-P-0775,3,1433.39049921
2008-P-0776,3,1400.49473017
2008-P-0778,3,1419.33606366
2008-P-0078,3,1345.09452285
2008-P-0785,3,1331.79890925
2008-P-0788,3,1409.88466214
2008-P-0789,3,1420.5395071
2008-P-0790,3,1361.37880244
2008-P-0796,3,1363.68132794
2008-P-0797,3,1360.99443202
2008-P-0008,3,1366.68692735
2008-P-0800,3,1419.2788765
2008-P-0801,3,1344.84454677
2008-P-0802,3,1373.95686714
2008-P-0803,3,1429.66694428
2008-P-0805,3,1321.7409574
